sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
あの路地はとても汚く、歩くのが怖かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
貝の破片を敷き詰めた細い路地は、汚くて貧しい人々が住む場所に似ている。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
「ここは本当に汚いんだ！,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
貝がらを敷いた細い汚い路地で、貧しい人々が住むような家並みだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
街はとても汚かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
この店は汚くて嫌だ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
彼女にはお金がないので、部屋はとても汚い。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
ここは本当に汚いところだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
この場所はとても汚かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
その通りはとても汚かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
あの路地はとても汚かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N3,2,19,E
