sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「その本は重いので、私は持って帰ることができない。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「今日は朝から雨が降っているので、傘を持って行った方がいいだろう。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「今度会うときには、必ずハンカチを持ってきてね。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
右手で持っている鉛筆を左手でも持とうとすることはできない。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
私は彼女の携帯電話を持たせてもらうだけだ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
右手を持って左手は添えるだけでいいですね。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「今度は右手で持ってみよう」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「そのペンはいつも左手で持っているから、右手で持ったら書きやすいだろうな」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「その紙袋はとても重いから、私はそれを持って歩くことができない。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「彼女は鉛筆をたくさん持っている。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「彼は本をたくさん持っている。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「このバッグは重くて持ちにくいんだ。」,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
「あの人はギターをたくさん持っている。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N5,2,28,A
