sentence,target_word,context_sentence,target_level,system_id
這入りこんで現場を見届けてやろう。,現場,這入りこんで現場を見届けてやろう。,N1,2
「ここが私の現場だ」と彼は言った。,現場,這入りこんで現場を見届けてやろう。,N1,2
この仕事から解放されるためには、とにかく現場に行くしかない。,現場,這入りこんで現場を見届けてやろう。,N1,2
警察は現場に来ているはずだが、まだ見つかっていない。,現場,這入りこんで現場を見届けてやろう。,N1,2
この事件の真相を暴くために、私は現場に行った。,現場,這入りこんで現場を見届けてやろう。,N1,2
彼らは事故が起きた現場へ向かった。,現場,這入りこんで現場を見届けてやろう。,N1,2
犯人は現場から逃走した。,現場,這入りこんで現場を見届けてやろう。,N1,2
彼は私の話を聞くために現場に来た。,現場,這入りこんで現場を見届けてやろう。,N1,2
彼女は工場の現場監督だ。,現場,這入りこんで現場を見届けてやろう。,N1,2
この仕事が終わったら、現場から離れるつもりだ。,現場,這入りこんで現場を見届けてやろう。,N1,2
その人たちはみんな現場作業員だ。,現場,這入りこんで現場を見届けてやろう。,N1,2
