sentence,target_word,context_sentence,target_level,system_id
一人のこらず死んだような場所もあります。,場所,一人のこらず死んだような場所もあります。,N5,2
彼は日本でとても有名な場所に行ったことがある。,場所,一人のこらず死んだような場所もあります。,N5,2
彼女は、東京や京都など多くの観光客が訪れる場所を訪れた。,場所,一人のこらず死んだような場所もあります。,N5,2
彼らは田舎の美しい場所に住んでいる。,場所,一人のこらず死んだような場所もあります。,N5,2
私たちはパリの素敵な場所に滞在した。,場所,一人のこらず死んだような場所もあります。,N5,2
とても楽しい場所だった。,場所,一人のこらず死んだような場所もあります。,N5,2
運転中ずっと話していて、途中でいろいろな場所によって見せてくれた。,場所,一人のこらず死んだような場所もあります。,N5,2
私はその場所が好きだ。,場所,一人のこらず死んだような場所もあります。,N5,2
彼はこの場所に住んでいる。,場所,一人のこらず死んだような場所もあります。,N5,2
ここはとても静かで、リラックスできる場所です。,場所,一人のこらず死んだような場所もあります。,N5,2
あの場所には行かない方がいい。,場所,一人のこらず死んだような場所もあります。,N5,2
