sentence,target_word,context_sentence,target_level,system_id
空からはちらほらと、たゆたいながら雪が落ち始める。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
私たちは始めましょう！,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
あなたの仕事を始めてください,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼は人生を始めた4.彼らは旅に出ようとしている,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
私は日本での生活を始めたばかりです。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
あなたは今まで何も始めたことがない。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼は新しい仕事を始めたばかりだ。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼女は大学に入ったばかりなので、アルバイトを始めました。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
子供たちは学校に通い始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
新しい趣味を始めてみたいけど、何から始めたらいいんだろう？,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
この仕事を辞めて別の仕事を始めようと思っている。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
しかし、今は始められない。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
僕はサッカーを始めたんだ。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼女はピアノを始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
子供たちは学校に行き始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼は会社を始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼女は料理教室に通い始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
彼はピアノを習い始めた。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
私たちは今日から英語を勉強し始めることになった。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N1,2
