sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
彼女は全然教えてくれないので、私は自分で新しいレシピを試した。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
昨日のミーティングは全然順調に進まなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
この道は全然狭くて、車が通るのが難しい。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
彼は全然分からないと言っていたが、実はすでに知っていた。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
この本は全然面白くなく、途中で読むのをやめた。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
最近全然野菜を食べていなくて、体調が悪い。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
彼の説明は全然わかりにくくて、理解できなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
この料理は全然辛くないので、辛いものが苦手な人にオススメです。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
彼は全然遅刻しないので、信頼できる人だと思います。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
今日の試合は全然面白くなくて、がっかりした。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N3,3,20,A
