sentence,target_word,context_sentence,target_level,system_id
自分の意思で、内部に入ろうと思わなければ、中には入れない。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
私は新しい学校に入る予定です。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
バスに乗る前に、切符を買いに駅に入ります。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
この建物に入るには、カードキーが必要です。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
友達の家に招待されて、喜んで中に入りました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
映画の撮影に参加するために、オーディションに入った。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
彼は新しい学校に入るために準備をしています。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
レストランに入ると、すぐにおいしい匂いが漂ってきました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
雨が降り始めたので、急いで車に入りました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
友達の家に入ると、可愛い猫が出迎えてくれました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
新しい仕事に入る前に、必要なスキルを身につける必要があります。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,3
