sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
俺はそこで二時間ほど調べられた。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
．彼は毎日遅くまで仕事をしているので、ほとんど自由な時間がない。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
．試験の前には、たくさんの時間を勉強に費やす必要があります。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
．彼女は音楽を演奏するのが好きで、趣味の時間にピアノを弾いています。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
．週末には友達と遊ぶために時間を作りたいです。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
．昼休みの時間には公園で散歩したり、リフレッシュできるようなことをしたいです。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
クラスは毎日五時間ほど続きます。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
彼女は公園で一時間遊びました。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
レストランで二時間待ちました。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
今日はたくさんの時間があります。,時間,俺はそこで二時間ほど調べられた。,N5,3,23,I
