sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
彼との意見が合わなかったため、議論が白熱しました。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
この服と靴の色が合わなくて、コーディネートが難しいです。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
友達の趣味が私と合わなくても、尊重しています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
彼とは考え方や価値観が合うので、いつも意気投合しています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
この塾の授業は私の学習スタイルに合っているので、成績が上がっています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
彼との意見が合わなくて、議論が続いている。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
この服は体に合っていないので、大きさを変えたい。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
友達とは予定が合わなかったので、違う日に会うことにした。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
彼の性格と私の性格が合うかどうか、不安だ。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
この店のスタイルは私の好みに合わないので、他の店を探すことにした。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N5,3,22,A
