sentence,target_word,context_sentence,target_level,system_id
這入りこんで現場を見届けてやろう。,現場,這入りこんで現場を見届けてやろう。,N1,3
駅のホームで突然の事件が発生し、私は現場に飛び込んで状況を把握した。,現場,這入りこんで現場を見届けてやろう。,N1,3
高層ビルの工事現場で働く作業員たちは、厳しい安全基準を守りながら仕事に取り組んでいます。,現場,這入りこんで現場を見届けてやろう。,N1,3
火災が発生した建物の近くに住む人々は、すぐに避難しなければならず、現場は大混乱になった。,現場,這入りこんで現場を見届けてやろう。,N1,3
事故が発生した道路の現場で、警察官が交通整理を行い、車両の流れを制御しています。,現場,這入りこんで現場を見届けてやろう。,N1,3
警察の捜査班は容疑者のアジトに突入し、現場で証拠を押収して事件解決に向けて動いている。,現場,這入りこんで現場を見届けてやろう。,N1,3
彼は現場での経験が豊富だ。,現場,這入りこんで現場を見届けてやろう。,N1,3
緊急事態が発生し、私たちは現場へ急行した。,現場,這入りこんで現場を見届けてやろう。,N1,3
現場の調査を行った結果、原因は明らかになった。,現場,這入りこんで現場を見届けてやろう。,N1,3
チーム全員が協力して現場の作業を進めた。,現場,這入りこんで現場を見届けてやろう。,N1,3
現場の状況を把握するために、現地へ出向く必要がある。,現場,這入りこんで現場を見届けてやろう。,N1,3
