sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
彼は相手の発言に敏感に反応し、即座に的を得た反論を返した。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
相手の心情を察しつつ、適切なアドバイスを提供することが大切です。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
ディベートでは相手の弱点を見つけ、巧妙に攻撃することが求められます。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
相手の意図を読み取りながら、戦術的な効果的な問いかけをする必要があります。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
相手の動きを見極めて、適切なタイミングで反応することが勝利の鍵です。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
相手の言葉にしっかりと耳を傾けながら、自分の意見を述べました。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
彼は相手の攻撃を巧みにかわしながら、自分の強さを示しました。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
交渉中には常に相手の意見を尊重することが大切です。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
相手の動きをじっと見つめて、適切な反応を示しました。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
彼らは相手との討論で鋭い論点を交わしあいました。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,3,1,I
