sentence,target_word,context_sentence,target_level,system_id
これを認める研究者は少ない。,認める,これを認める研究者は少ない。,N5,3
彼女の努力が認められて、昇進した。,認める,これを認める研究者は少ない。,N5,3
肌の美しさを認めるために、新しい化粧品を使ってみた。,認める,これを認める研究者は少ない。,N5,3
先生は彼の努力を認めて、高い評価を与えた。,認める,これを認める研究者は少ない。,N5,3
彼の能力を認めて、プロジェクトのリーダーに抜擢された。,認める,これを認める研究者は少ない。,N5,3
忍耐力を持つことは困難だが、成功を認められる素晴らしい特質だ。,認める,これを認める研究者は少ない。,N5,3
彼は私の努力を認めてくれた。,認める,これを認める研究者は少ない。,N5,3
学校は優れた成績を認めて表彰した。,認める,これを認める研究者は少ない。,N5,3
私たちは彼の才能を認めて彼を信頼している。,認める,これを認める研究者は少ない。,N5,3
彼の発言は多くの人によって認められた。,認める,これを認める研究者は少ない。,N5,3
その政策は国内外から広く認められた。,認める,これを認める研究者は少ない。,N5,3
