sentence,target_word,context_sentence,target_level,system_id
英吉利語を教える報酬は僅かに月額六十円である。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
彼はピアノを教えるために毎週教室に通っています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
私のおばあさんは孫に釣りの楽しみを教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
彼女は子供たちに絵を教えることが得意です。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
先生は生徒に歴史の重要性を教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
私たちは地元の高校生にボランティアで英語を教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
彼はピアノを教えることが得意です。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
昨日先生が私たちに新しい言葉を教えてくれました。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
私は子供たちに絵を教えるのが好きです。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
彼女は大学で数学を教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
あの先生は授業を通じて生徒に多くのことを教えてくれます。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N3,3
