sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
彼女は全然ピアノを弾くことができない。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
雨が降らないので、今日は全然涼しくありません。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
その映画は全然怖くなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
彼の英語の発音は全然上手ではありません。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
この料理は全然辛くないので、子供でも食べられます。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
全然分野の専門家じゃなくても、そのトピックについて話せるよ。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
全然大丈夫だよ、心配しないで。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
彼の言うことは全然信じられない。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
その映画は全然面白くなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
今日は全然忙しくなかったから、ゆっくり過ごせた。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N5,3,30,E
