sentence,target_word,context_sentence,target_level,system_id
囚人虐待事件への対応などの影響から退任を求める声が出始めた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
学生たちは、教育の質の向上を求める運動を展開している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
企業は、環境保護への積極的な取り組みを求められています。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
政府は、公正な税制改革を求める市民の要望に応えるべきです。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
若者たちは、雇用の安定を求めてデモを行いました。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
私たちは、社会的な平等を求め、差別をなくす活動をしています。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
彼は自己啓発を求めるために、毎日図書館で勉強している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
会社は新たなアイデアを求めるために、従業員にアンケートを実施しました。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
彼女は真実を求めるために、事件の解明に情熱を注いでいる。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
このプロジェクトでは、プロフェッショナルなスキルを求めるために、経験豊富な人材を募集中です。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
国民は政府の厳しい処罰を求めるために、デモを行っている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N3,3
