sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
私たちが成功するかどうかは、チームの団結力による場合が非常に大きい。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
その商品を売るかどうかは、消費者の需要による場合が決め手となる。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
友達の結婚式に行くかどうかは、私のスケジュールによる場合だ。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
この仕事を引き受けるかどうかは、報酬の条件による場合があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
外出するかどうかは、天候の状況による場合もある。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
この経済の場合、即座に対策を講じる必要があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
もし私が欠席の場合、代わりのリーダーを指名してください。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
あのプロジェクトの成功の場合、私たちは大きな利益を得ることができます。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
天候が悪い場合、イベントは延期される可能性があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
万が一の場合に備えて、非常用の設備を準備しましょう。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N3,3,15,I
