sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
当駅ではすべてのドアが開く。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
会議は明日の午後3時に開く予定です。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
彼女は笑顔でドアを開くと、驚きの表情を見せた。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
パーティーの準備が整い、ドアが開くのを待っている。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
新しい店が駅前に開くことが決まった。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
春の訪れと共に、桜の花が開く様子を楽しみにしています。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
山の風景が目の前に広がり、心が開いた。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
パーティー会場では、音楽が流れて人々が笑顔で心を開く。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
季節が変わり、花が開くたびに新たな希望が生まれる。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
未知の扉が開き、新たな冒険の始まりを感じる。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
目の前の不可能が可能に思え、新たな可能性が開く。,開く,当駅ではすべてのドアが開く。,N1,3,7,A
