sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
彼とは趣味も性格も合わないので、友達になることはできなかった。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
心と体が合わず、疲れもたまってきた。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
彼の提案は私の意見と合わないので、反対しました。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
彼女の考え方は私たちの価値観と合わないので、理解するのが難しいです。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
このデザインはイメージと合わず、改めて考え直す必要がある。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
．このチームのメンバーは考え方や目標が合っていて、非常に協力的です。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
．彼と私は音楽の好みが合うので、一緒にコンサートに行くことにしました。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
．この革新的なアイデアは、市場のニーズに合うと思います。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
．彼の人柄は私の理想に合っていて、将来を一緒に歩みたいと思っています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
．彼女と私は意見が合っているので、プロジェクトの成功に向けて協力しています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,3,2,A
