sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
汚い衣類が山積みになっている部屋で、彼は探し物をしていた。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
駅の周りは、たばこの吸い殻やごみで汚い状態だった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
レストランのトイレは、臭いがきつくて汚い印象を与えた。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
彼女は手で泥を掴んで、顔に汚い模様を描いた。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
町の川は、工場からの排水で汚いままだった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
．彼の服は汚い臭いがした。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
．部屋は汚い微粒子で満たされていた。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
．彼女は汚い言葉で私を非難した。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
．雨の後、道は汚い水たまりでいっぱいだった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
．汚い思考が彼の行動を操っているようだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,3,9,A
