sentence,target_word,context_sentence,target_level,system_id
また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
彼女はサッパリした性格で、いつも明るく人を元気にする。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
このお茶はサッパリしていて、夏にぴったりだ。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
サッパリした気分で新しい一日をスタートしよう。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
長い髪を切ってサッパリした新しいヘアスタイルになった。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
サッパリ,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
最近、健康に気をつけているので、食事はサッパリとしたものを選んでいます。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
昨日の夜の雨で、湿気がサッパリと取れて、気持ちいい朝を迎えました。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
サッパリとした気分で新しい始まりを迎えるために、部屋を整理しました。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
夏に向けて、サッパリとした味わいのスムージーを作ってみました。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
話し合いの中で、お互いの意見をサッパリとすり合わせることが大切です。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N1,3
