sentence,target_word,context_sentence,target_level,system_id
このような動物は頭の真ん中に角が生えている。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
田中さんは頭が良くて、難しい問題でもすぐに解ける。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
学校のプロジェクトで、私たちは頭を使って創造的なアイデアを出し合った。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
彼女は頭の中で常に新しいビジネス戦略を考えている。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
今日は頭が痛いので、ゆっくり休んでいます。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
昨夜の夢はとても奇妙で、頭が混乱している。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
このパズルは難しすぎて、頭を悩ませる。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
私たちは頭を集めて、新しい計画を練った。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
彼は頭の良い人だから、難しい問題もすぐ解決できる。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
今日の会議で頭に浮かんだアイデアを発表した。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
彼は頭のいい子供なので、早くに高校に進学した。,頭,このような動物は頭の真ん中に角が生えている。,N1,3
