sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
私たちが成功するかどうかは、チームの団結力による場合がある。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
長距離バスに乗る場合は、事前に予約することをおすすめします。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
その試合は天候の悪化した場合、延期される可能性があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
子供が熱を出した場合は、すぐに病院に連れて行く必要があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
国際会議に参加する場合は、パスポートを持参することが必要です。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
このテストは独特な場合で、しっかりと準備が必要です。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
あの学会発表では、プロジェクトの成功の場合について話しました。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
今日の会議の場合、重要な決定が行われる予定です。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
嵐の場合、安全のために早めに避難してください。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
この病気の場合、専門医の診察を受ける必要があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N5,3,25,I
